CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,_count,_sum,_mean,class,time
0600200011072,06,002,0001,1072,828.0,825.0189747899991,0.9963997280072453,Depth,10200
0600200010731,06,002,0001,0731,7786.0,1467.4949129800018,0.18847866850500922,Depth,10200
060020001166A,06,002,0001,166A,0.0,0.0,,Depth,10200
0600200011710,06,002,0001,1710,50.0,0.5680507300000003,0.011361014600000005,Depth,10200
060020001006A,06,002,0001,006A,10.0,5.748959449999999,0.574895945,Depth,10200
0600200010074,06,002,0001,0074,0.0,0.0,,Depth,10200
0600200011655,06,002,0001,1655,0.0,0.0,,Depth,10200
0600200011636,06,002,0001,1636,262.0,113.20184858999997,0.43206812438931286,Depth,10200
0601000010362,06,010,0001,0362,0.0,0.0,,Depth,10200
0600200011640,06,002,0001,1640,587.0,200.9187005999999,0.3422805802385007,Depth,10500
0600200011617,06,002,0001,1617,2748.0,2471.886682949997,0.8995220825873351,Depth,10500
0600200011621,06,002,0001,1621,0.0,0.0,,Depth,10500
0600200010676,06,002,0001,0676,2922.0,1347.627452239998,0.4612003601095134,Depth,10500
0600200010727,06,002,0001,0727,2283.0,852.30363289,0.37332616420937365,Depth,10500
0600200011142,06,002,0001,1142,2544.0,707.8562869699997,0.2782453958215408,Depth,10500
0600200010411,06,002,0001,0411,3661.0,3118.0114665499914,0.8516830009696781,Depth,10500
0600200011481,06,002,0001,1481,181.0,134.65170159000004,0.7439320529834257,Depth,10500
0600200011068,06,002,0001,1068,3029.0,1776.049409639999,0.5863484350082533,Depth,10500
0600200010708,06,002,0001,0708,5473.0,3246.481638179997,0.593181370031061,Depth,10500
0600200011458,06,002,0001,1458,0.0,0.0,,Depth,10500
0600200010318,06,002,0001,0318,7179.0,1944.3962647299995,0.2708450013553419,Depth,10500
0600200010680,06,002,0001,0680,289.0,63.31519518000001,0.2190837203460208,Depth,10500
0600200010712,06,002,0001,0712,0.0,0.0,,Depth,10500
0600200010746,06,002,0001,0746,144.0,68.06720621000004,0.4726889320138892,Depth,10500
0600200010750,06,002,0001,0750,1614.0,794.8409163699996,0.49246649093556355,Depth,10500
0600200010765,06,002,0001,0765,0.0,0.0,,Depth,10500
0600200010816,06,002,0001,0816,278.0,244.9070794900001,0.8809607175899283,Depth,10500
0600200011123,06,002,0001,1123,579.0,414.01766447999984,0.7150564153367873,Depth,10500
0600200011227,06,002,0001,1227,48.0,12.514897140000002,0.26072702375000006,Depth,10500
0600200011265,06,002,0001,1265,6375.0,2816.9979853099985,0.4418820369113723,Depth,10500
060020001127A,06,002,0001,127A,5329.0,2427.334368759999,0.4554952840607992,Depth,10500
0600200010801,06,002,0001,0801,1424.0,1231.8058758800005,0.8650322162078655,Depth,10500
0600200010835,06,002,0001,0835,546.0,153.69097597999965,0.28148530399267335,Depth,10500
0600200010924,06,002,0001,0924,155.0,59.57358679,0.38434572122580646,Depth,10500
0600200011439,06,002,0001,1439,0.0,0.0,,Depth,10500
0600200011462,06,002,0001,1462,3925.0,2441.420743269999,0.6220180237630571,Depth,10500
0600200010322,06,002,0001,0322,2.0,0.02032314,0.01016157,Depth,10500
060020001077A,06,002,0001,077A,0.0,0.0,,Depth,10500
0600200010981,06,002,0001,0981,0.0,0.0,,Depth,10500
0600200011513,06,002,0001,1513,8680.0,2856.3755593600094,0.3290755252718905,Depth,10500
0600200011528,06,002,0001,1528,0.0,0.0,,Depth,10500
0600200011301,06,002,0001,1301,1316.0,1957.2320570799993,1.4872584020364736,Depth,10500
0600200011053,06,002,0001,1053,811.0,453.88730868000016,0.5596637591615292,Depth,10500
