index,CVEGEO,CVE_AGEB,time,Depth,Rain,Velocity,area,POBTOT,POB0_14_P,P15A29A_P,P30A59A_P,GRAPROES,P_CD_P,VPH_C_EL_P,VPH_EXSA_P,VPH_DREN_P,RECUCALL_C,RAMPAS_C,PASOPEAT_C,BANQUETA_C,CICLOVIA_C,CICLOCAR_C,ALUMPUB_C,SEMAAUDI_C,PARATRAN_C,DRENAJEP_C,TRANSCOL_C,ARBOLES_C,ACESOAUT_C,PUESSEMI_C,PUESAMBU_C,escuela,farmacia,hospital
0,0600200010318,0318,0,,0.0,,339.55614395170545,1925,11.397551020408164,17.568979591836733,31.385102040816324,10.333877551020407,7.33,85.30387755102042,85.47387755102041,4188.22,52,121,71,53,135,147,100,145,143,128,115,81,144,146,143,13.0,6.0,0.0
1,0600200010318,0318,300,,0.0,,339.55614395170545,1925,11.397551020408164,17.568979591836733,31.385102040816324,10.333877551020407,7.33,85.30387755102042,85.47387755102041,4188.22,52,121,71,53,135,147,100,145,143,128,115,81,144,146,143,13.0,6.0,0.0
