CVE_AGEB,POBTOT,POB0_14_P,P15A29A_P,P30A59A_P,GRAPROES,P_CD_P,VPH_C_EL_P,VPH_EXSA_P,VPH_DREN_P,RECUCALL_C,RAMPAS_C,PASOPEAT_C,BANQUETA_C,CICLOVIA_C,CICLOCAR_C,ALUMPUB_C,SEMAAUDI_C,PARATRAN_C,DRENAJEP_C,TRANSCOL_C,ARBOLES_C,ACESOAUT_C,PUESSEMI_C,PUESAMBU_C,agua,electricidad,escuela,refugios,salud
0801,1727,13.584054054054054,14.651621621621622,28.112702702702705,8.818108108108108,8.689729729729729,78.14432432432433,77.4927027027027,77.9281081081081,1.027027027027027,1.945945945945946,2.72972972972973,1.2432432432432432,2.918918918918919,3.0,1.945945945945946,2.918918918918919,2.864864864864865,2.675675675675676,2.4324324324324325,1.5945945945945945,3.0,2.7837837837837838,2.7027027027027026,0,0,6.0,0,0
0835,1466,10.822368421052632,17.487105263157893,32.854473684210525,12.406842105263157,2.9373684210526316,84.06421052631579,84.06421052631579,84.06421052631579,1.0,2.3684210526315788,2.526315789473684,1.0789473684210527,3.0,3.0,1.9736842105263157,3.0,2.9473684210526314,2.8421052631578947,2.6578947368421053,1.131578947368421,2.973684210526316,3.0,3.0,1.0,0,1.0,1.0,3.0
0924,611,10.4496,15.5896,26.724800000000002,9.569600000000001,1.7784,63.6364,63.6364,63.6364,1.0,2.2,2.16,1.12,3.0,3.0,1.88,3.0,3.0,2.92,2.8,1.68,2.92,3.0,3.0,0,0,1.0,0,40.0
1053,311,10.981153846153846,17.305,27.587692307692308,9.103461538461538,2.1703846153846156,61.53846153846154,61.53846153846154,61.53846153846154,1.1153846153846154,1.6538461538461537,2.8461538461538463,1.1923076923076923,2.9615384615384617,3.0,1.7307692307692308,3.0,3.0,2.769230769230769,2.3076923076923075,1.2692307692307692,2.9615384615384617,3.0,2.9615384615384617,0,0,0,0,21.0
1068,1974,15.85595744680851,21.856170212765957,40.17851063829787,13.27468085106383,2.6461702127659574,91.48936170212765,91.48936170212765,91.48936170212765,1.0,1.1702127659574468,2.8297872340425534,1.0638297872340425,3.0,3.0,1.8936170212765957,3.0,3.0,3.0,2.6382978723404253,1.3191489361702127,1.1063829787234043,2.9574468085106385,2.9574468085106385,0,0,1.0,0,1.0
1072,1892,11.944318181818181,22.513863636363638,38.47636363636364,13.536363636363637,1.858181818181818,90.78272727272727,90.78272727272727,90.78272727272727,1.0227272727272727,1.9772727272727273,2.8181818181818183,1.0909090909090908,3.0,3.0,2.0,3.0,3.0,2.977272727272727,2.8636363636363638,1.4090909090909092,1.8409090909090908,3.0,2.9545454545454546,0,0,2.0,0,15.0
1142,2040,25.31641509433962,21.865849056603775,29.926603773584905,7.758301886792453,2.667924528301887,78.29622641509434,80.89622641509433,80.4245283018868,1.150943396226415,1.7924528301886793,1.9245283018867925,1.5471698113207548,3.0,3.0,2.1320754716981134,3.0,3.0,3.0,2.849056603773585,1.3396226415094339,3.0,3.0,2.981132075471698,,,,,
1227,1410,15.58813953488372,13.757209302325583,34.6506976744186,11.045116279069767,1.4486046511627906,74.4186046511628,74.4186046511628,74.4186046511628,1.0,1.186046511627907,1.2093023255813953,1.0,3.0,3.0,2.0,3.0,3.0,2.953488372093023,2.7674418604651163,1.2093023255813953,3.0,3.0,3.0,1.0,0,2.0,0,9.0
1265,1935,12.848484848484848,19.053636363636365,36.7269696969697,12.006666666666668,9.845454545454544,99.58,99.68090909090908,99.68090909090908,1.0,1.303030303030303,1.0909090909090908,1.1818181818181819,3.0,3.0,1.9696969696969697,2.9696969696969697,2.8181818181818183,2.6666666666666665,2.8181818181818183,1.878787878787879,2.9393939393939394,3.0,2.9393939393939394,1.0,0,1.0,0,8.0
127A,1258,11.468461538461538,19.80807692307692,37.184615384615384,9.587692307692308,9.731923076923078,91.14153846153846,91.14153846153846,91.14153846153846,1.0,1.5,1.0769230769230769,1.1153846153846154,3.0,3.0,2.1538461538461537,3.0,2.769230769230769,2.6538461538461537,2.4615384615384617,2.0,3.0,2.923076923076923,2.8846153846153846,0,4.0,3.0,0,1.0
1439,2580,24.60853658536585,25.398292682926826,35.35634146341463,8.32878048780488,4.274390243902439,93.34829268292684,94.12048780487805,94.12048780487805,1.0,2.4634146341463414,2.8780487804878048,1.2439024390243902,3.0,3.0,2.024390243902439,3.0,3.0,3.0,2.902439024390244,1.4146341463414633,2.975609756097561,3.0,3.0,,,,,
1458,2076,16.024411764705885,17.38058823529412,33.34617647058823,8.19735294117647,5.8500000000000005,87.93088235294118,88.03235294117647,88.03235294117647,1.0588235294117647,2.1470588235294117,2.764705882352941,1.4705882352941178,2.9705882352941178,2.9705882352941178,2.1470588235294117,3.0,2.9411764705882355,2.911764705882353,2.735294117647059,1.5,3.0,2.764705882352941,2.8823529411764706,0,0,5.0,0,6.0
1528,1616,15.470645161290323,15.62516129032258,32.86806451612903,9.434516129032259,4.557096774193549,79.67354838709677,79.67354838709677,79.47193548387096,1.0,1.6451612903225807,2.7419354838709675,1.064516129032258,2.967741935483871,3.0,2.0,3.0,2.967741935483871,2.935483870967742,2.806451612903226,1.6129032258064515,2.903225806451613,3.0,2.903225806451613,0,0,3.0,0,2.0
