ageb,P6A14NAE,SBASC,PSDSS,OVSDE,OVSEE,OVSAE,OVPT,OVSREF,OVSINT,OVSCEL,OVHAC
0021,6.49350649350649,21.7114568599717,16.5542611894543,0.0,0.0,0.0,0.0,1.48791072535648,20.3347799132052,5.95164290142591,7.99752014879107
0290,1.0,17.9723502304147,17.8649237472767,0.131636682755595,0.131636682755595,0.0438788942518649,0.219394471259324,2.3694602896007,19.5699868363317,4.56340500219394,9.7892888498683
0318,6.63265306122449,20.6291591046582,19.3846153846154,0.0,0.102880658436214,0.0,2.26337448559671,3.08641975308642,23.9711934156379,7.92996910401648,12.3971193415638
0322,4.32692307692308,14.8854961832061,18.4284377923293,0.0,0.374707259953162,0.0,0.0936768149882904,1.03044496487119,13.3489461358314,6.79156908665105,5.99531615925059
0337,2.10526315789474,7.07154742096506,14.9511645379414,0.0,0.0,0.0,0.375657400450789,0.0,5.39325842696629,3.22097378277154,4.41947565543071
0341,1.7921146953405,24.9739311783107,21.6459494213459,0.0,0.474137931034483,0.172413793103448,1.25,5.25862068965517,25.0431034482759,9.00862068965517,15.1724137931034
0356,5.69620253164557,13.6531365313653,11.6719242902208,0.0,0.0,0.0,0.0,0.443318556048132,12.8562381253958,6.45978467384421,5.1931602279924
0394,5.94059405940594,41.3393756294058,12.6643295354952,0.0,0.16366612111293,0.0,3.19148936170213,3.0278232405892,36.4975450081833,3.92798690671031,19.9672667757774
0407,13.1782945736434,36.5671641791045,19.4251734390486,0.0991080277502478,0.0,0.0991080277502478,7.53221010901883,5.25272547076313,34.5887016848365,9.01883052527255,19.5242814667988
0411,2.08333333333333,4.31293881644935,14.8636763412489,0.0,0.0,0.0,0.26431718061674,0.0,4.73684210526316,2.01754385964912,2.28070175438596
0464,7.69230769230769,38.8888888888889,31.1111111111111,0.0,0.0,0.0,6.66666666666667,0.0,61.1111111111111,0.0,22.2222222222222
0479,0.0,23.2876712328767,20.0,0.0,0.0,0.0,0.0,1.94174757281553,39.8058252427184,12.621359223301,35.9223300970874
0483,4.3010752688172,31.8815331010453,11.455525606469,1.76390773405699,0.67842605156038,3.52781546811398,6.91994572591588,7.05563093622795,37.3134328358209,6.51289009497965,31.2075983717775
